adexchange_1,adexchange_2,adexchange_3,adexchange_4,adexchange_null,advertiser,browser_chrome,browser_firefox,browser_ie,browser_maxthon,browser_opera,browser_other,browser_safari,browser_theworld,city,click,hour,os_android,os_ios,os_linux,os_mac,os_other,os_windows,region,slotformat_0,slotformat_1,slotformat_5,slotformat_Na,slotheight,slotprice,slotvisibility_0,slotvisibility_1,slotvisibility_2,slotvisibility_255,slotvisibility_FifthView,slotvisibility_FirstView,slotvisibility_FourthView,slotvisibility_Na,slotvisibility_OtherView,slotvisibility_SecondView,slotvisibility_ThirdView,slotwidth,weekday
1,0,0,0,0,2821,1,0,0,0,0,0,0,0,239,0,20,0,0,0,0,0,1,238,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,1
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,85,0,8,0,0,0,0,0,1,80,1,0,0,0,250,24,1,0,0,0,0,0,0,0,0,0,0,300,2
0,0,1,0,0,3476,0,0,1,0,0,0,0,0,146,0,12,0,0,0,0,0,1,146,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
0,1,0,0,0,2259,1,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,1,216,0,0,0,1,90,5,0,0,0,0,0,0,0,0,1,0,0,728,6
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,4,0,20,0,0,0,0,0,1,3,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,0
1,0,0,0,0,1458,0,0,1,0,0,0,0,0,169,0,14,0,0,0,0,0,1,164,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,6
0,1,0,0,0,3386,0,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,1,3,1,0,0,0,200,16,1,0,0,0,0,0,0,0,0,0,0,200,5
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,95,0,13,0,0,0,0,0,1,94,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,4
0,1,0,0,0,2259,1,0,0,0,0,0,0,0,219,0,1,0,0,0,0,0,1,216,0,0,0,1,90,5,0,0,0,0,0,1,0,0,0,0,0,728,5
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,600,0,0,1,0,0,0,0,0,0,0,0,0,160,0
0,1,0,0,0,2259,0,0,1,0,0,0,0,0,228,0,3,0,0,0,0,0,1,216,0,0,0,1,90,5,0,0,0,0,0,0,0,0,1,0,0,728,0
1,0,0,0,0,3386,0,0,1,0,0,0,0,0,154,0,21,0,0,0,0,0,1,146,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,2
1,0,0,0,0,1458,1,0,0,0,0,0,0,0,306,0,20,0,0,0,0,0,1,298,0,1,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,728,5
0,1,0,0,0,1458,0,0,0,0,0,0,1,0,217,0,8,0,0,0,1,0,0,216,1,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,468,3
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,217,0,11,0,0,0,0,0,1,216,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,4
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,124,0,22,0,0,0,0,0,1,124,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,3
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,28,0,21,0,0,0,0,0,1,27,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
1,0,0,0,0,3427,0,0,1,0,0,0,0,0,136,0,9,0,0,0,0,0,1,134,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,950,4
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,128,0,16,0,0,0,0,0,1,124,1,0,0,0,200,5,0,1,0,0,0,0,0,0,0,0,0,200,3
0,0,1,0,0,3386,0,0,1,0,0,0,0,0,79,1,19,0,0,0,0,0,1,79,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,1
0,1,0,0,0,1458,0,0,1,0,0,0,0,0,85,0,11,0,0,0,0,0,1,80,1,0,0,0,250,16,1,0,0,0,0,0,0,0,0,0,0,250,6
1,0,0,0,0,1458,0,0,1,0,0,0,0,0,56,0,9,0,0,0,0,0,1,55,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,0
