,adexchange_1,adexchange_2,adexchange_3,adexchange_4,adexchange_null,advertiser,browser_chrome,browser_firefox,browser_ie,browser_maxthon,browser_opera,browser_other,browser_safari,browser_theworld,city,hour,os_android,os_ios,os_linux,os_mac,os_other,os_windows,region,slotformat_0,slotformat_1,slotformat_5,slotformat_Na,slotheight,slotprice,slotvisibility_0,slotvisibility_1,slotvisibility_2,slotvisibility_255,slotvisibility_FifthView,slotvisibility_FirstView,slotvisibility_FourthView,slotvisibility_Na,slotvisibility_OtherView,slotvisibility_SecondView,slotvisibility_ThirdView,slotwidth,weekday
1,1,0,0,0,0,2821,1,0,0,0,0,0,0,0,239,20,0,0,0,0,0,1,238,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,1
58,0,1,0,0,0,3358,0,0,1,0,0,0,0,0,85,8,0,0,0,0,0,1,80,1,0,0,0,250,24,1,0,0,0,0,0,0,0,0,0,0,300,2
270,0,0,0,1,0,2821,1,0,0,0,0,0,0,0,176,21,0,0,0,0,0,1,164,0,0,0,1,250,30,0,0,0,0,0,0,0,0,0,1,0,300,0
273,0,1,0,0,0,1458,1,0,0,0,0,0,0,0,85,11,0,0,0,0,0,1,80,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,3
279,1,0,0,0,0,2259,0,0,1,0,0,0,0,0,217,10,0,0,0,0,0,1,216,0,0,0,1,90,0,0,0,0,0,0,1,0,0,0,0,0,728,6
324,0,0,1,0,0,3427,0,0,0,1,0,0,0,0,18,17,0,0,0,0,0,1,15,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,2
393,0,1,0,0,0,3358,0,0,1,0,0,0,0,0,75,9,0,0,0,0,0,1,65,1,0,0,0,250,16,1,0,0,0,0,0,0,0,0,0,0,250,0
501,0,0,1,0,0,3358,0,0,1,0,0,0,0,0,104,11,0,0,0,0,0,1,94,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,5
514,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,1,16,0,0,0,0,0,1,1,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,3
558,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,287,17,0,0,0,0,0,1,276,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,2
628,0,0,1,0,0,3476,0,0,1,0,0,0,0,0,87,8,0,0,0,0,0,1,80,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,960,1
665,0,0,1,0,0,2821,0,0,1,0,0,0,0,0,306,21,0,0,0,0,0,1,298,0,0,0,1,90,50,0,0,0,0,0,0,0,1,0,0,0,1000,1
856,1,0,0,0,0,3358,1,0,0,0,0,0,0,0,222,22,0,0,0,0,0,1,216,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,3
895,0,0,1,0,0,3427,1,0,0,0,0,0,0,0,148,16,0,0,0,0,0,1,146,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,6
906,1,0,0,0,0,1458,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,1,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,728,3
967,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,191,16,0,0,0,0,0,1,183,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
1002,0,1,0,0,0,2821,0,0,1,0,0,0,0,0,210,7,0,0,0,0,0,1,201,0,0,0,1,90,5,0,0,0,0,0,0,0,0,1,0,0,728,1
1059,0,1,0,0,0,2821,1,0,0,0,0,0,0,0,16,23,0,0,0,0,0,1,15,0,0,0,1,280,5,0,0,0,0,0,0,0,0,1,0,0,336,0
1068,0,0,0,0,1,2997,0,0,0,0,0,0,1,0,278,19,1,0,0,0,0,0,276,0,0,0,1,50,104,0,0,0,0,0,1,0,0,0,0,0,320,5
1104,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,79,19,0,0,0,0,0,1,79,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,1
1319,0,1,0,0,0,3427,0,0,1,0,0,0,0,0,184,20,0,0,0,0,0,1,183,1,0,0,0,90,59,1,0,0,0,0,0,0,0,0,0,0,728,4
1343,0,0,1,0,0,3476,0,0,1,0,0,0,0,0,86,14,0,0,0,0,0,1,80,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,0
1379,0,1,0,0,0,3476,0,0,1,0,0,0,0,0,148,11,0,0,0,0,0,1,146,1,0,0,0,600,5,0,1,0,0,0,0,0,0,0,0,0,120,3
1384,1,0,0,0,0,3386,0,0,1,0,0,0,0,0,277,8,0,0,0,0,0,1,276,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,4
1394,0,0,1,0,0,3386,1,0,0,0,0,0,0,0,163,0,0,0,0,0,0,1,146,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,2
1426,1,0,0,0,0,1458,1,0,0,0,0,0,0,0,28,16,0,0,0,0,0,1,27,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,728,2
